country,region,continent,alliances,metric,value
Belgium,Western Europe,Europe,"NATO, EU",aircraft_total,108.0
Jordan,Middle East,Asia,ARAB_LEAGUE,aircraft_total,274.0
Cuba,Caribbean,North America,None,aircraft_total,31.0
Czechia,Eastern Europe,Europe,"NATO, EU",aircraft_total,99.0
Dominican Republic,Caribbean,North America,None,aircraft_total,79.0
Azerbaijan,Eastern Europe,Europe,None,aircraft_total,154.0
Portugal,Southern Europe,Europe,"NATO, EU",aircraft_total,115.0
Sweden,Northern Europe,Europe,"NATO, EU",aircraft_total,169.0
Greece,Southern Europe,Europe,"NATO, EU",aircraft_total,558.0
Tajikistan,Central Asia,Asia,SCO,aircraft_total,25.0
United Arab Emirates,Middle East,Asia,"BRICS, ARAB_LEAGUE",aircraft_total,551.0
Hungary,Eastern Europe,Europe,"NATO, EU",aircraft_total,69.0
Honduras,Central America,North America,None,aircraft_total,40.0
Belarus,Eastern Europe,Europe,SCO,aircraft_total,185.0
Israel,Middle East,Asia,None,aircraft_total,611.0
Sierra Leone,West Africa,Africa,AFRICAN_UNION,aircraft_total,1.0
