overall_rank,country,manpower_norm,air_power_norm,land_power_norm,naval_power_norm,logistics_power_norm,energy_power_norm,geographical_power_norm,economic_power_norm,debt_norm,budget_to_gdp_norm,assets_per_capita_norm,is_nato,is_eu,is_brics,overall_power_index,power_rank_gap
47,Vietnam,0.07616571397700254,0.01796669588080631,0.03591588642211627,0.025907469075357632,0.02899882120144702,0.014706833870205884,0.022386630315043156,0.041797714856774186,0.99847938923431,0.038967238325981396,0.010900157191326976,0,0,0,0.12703948354935973,46
48,Liberia,0.0030966390776692894,0.0,0.0007516404552936784,1.9190717833598245e-06,0.0023119465595864263,8.140328094494e-11,0.006582445660568395,0.0002819019463807191,0.9982493623246723,0.2520978968099974,0.0056582983505553425,0,0,0,0.12687501483915295,47
49,Azerbaijan,0.0068802179610070865,0.011831726555652936,0.02318810804580998,1.5112690293958618e-05,0.004096810461540067,0.03565330983444037,0.005201589172657581,0.006714922380435892,0.9985990347502881,0.14218322183121376,0.03961886394606522,0,0,0,0.1267267995248969,48
50,Thailand,0.046699711319733335,0.038891323400525854,0.04568721234093409,0.0315085199590662,0.026838608362658375,0.00446303777155345,0.030475248926698964,0.04997616901887447,0.9987320856736042,0.023844210637804127,0.016664930053900684,0,0,0,0.1263804888446479,49
51,Colombia,0.03169108956606965,0.033413672217353196,0.008959554227100647,0.007569058997544068,0.03019443074928053,0.0023847243173447338,0.06798925070951829,0.029979785895708686,0.9977650843361838,0.06617224112550667,0.013882534174243118,0,0,0,0.12600216404201445,50
52,Cuba,0.008509418742271365,0.0024101665205959683,0.017994272499730662,7.43640316051932e-06,0.009940080397133667,0.0014700429039710315,0.006654808241478046,0.00447439576191519,0.9956230025657051,0.19576406006431846,0.01950702186317107,0,0,0,0.1257880310201536,51
53,Jordan,0.004804332433682465,0.022458369851007888,0.04654157699178457,1.2953734537678816e-05,0.0011251772762884105,0.0002157560997187016,0.005278702539503654,0.0035777933747662004,0.995505550609255,0.14370348510604145,0.033641076061401584,0,0,0,0.12532869807032215,52
54,Democratic Republic of the Congo,0.051891621085683286,0.003651767455448437,0.0027910915573238593,7.676287133439298e-06,0.02270629192060689,4.395608259218799e-05,0.1373310849369843,0.004542691435713852,0.999393070820818,0.03175315447458297,0.0035427535394648643,0,0,0,0.12531124681606381,53
55,Myanmar,0.03799607533024325,0.023626935436751387,0.017312785153597725,0.021501280260763474,0.02350814739068723,0.013392689116582418,0.040429767683091526,0.00864419770699318,0.9995326641834912,0.06230082824900649,0.012115273284632385,0,0,0,0.1251716446088847,54
56,Switzerland,0.0051738386374293845,0.010663160969909435,0.018375103663746124,0.0,0.011149167725324576,6.386808419691513e-05,0.0025688426540856585,0.04643674939506611,0.9438820959241355,0.2094954737808936,0.04949711261012984,0,0,0,0.1250868664049851,55
57,Peru,0.02087318741080461,0.01979257960853053,0.017916602986016984,0.0408875035322915,0.0030217763250759465,0.006553800188815435,0.07552011546495536,0.01695472356650683,0.9978521729848276,0.04056186023707927,0.018452558010792666,0,0,0,0.12414321567491897,56
58,Chile,0.011987202192556331,0.020413380075956764,0.023859573519205667,0.042278830575227376,0.012426368567149635,0.0021863405532719688,0.045342659705490666,0.018046273822526965,0.9930682636862658,0.05334299835128875,0.03355935220513108,0,0,0,0.12384649694315442,57
59,Estonia,0.00081375100798682,0.0004747297692082968,0.004311910745201402,3.838143566719649e-06,0.00869113941734831,7.2238696067956295e-06,0.00289763180273439,0.001758041602545609,0.991387878864029,0.15657999876905349,0.06423041866536017,1,1,0,0.12293985210540954,58
60,Singapore,0.004900194565274863,0.01763803680981595,0.023373512691449088,0.019532312611036294,0.0009732986331211959,0.0002793405276709016,5.283800943923229e-05,0.03232532848032152,0.9575089205189256,0.12201310430815597,0.07842090354682768,0,0,0,0.12246924622217167,59
